,game_id,date,duration,platform,p1_char,p2_char,p3_char,p4_char,stage,is_teams,is_pal
123,20190406T104441,2019-04-06 10:44:41+00:00,9448,Platform.NINTENDONT,,9.0,0.0,,32,False,False
124,20190406T145409,2019-04-06 14:54:09+00:00,10436,Platform.NINTENDONT,9.0,15.0,,,8,False,False
125,20190406T181311,2019-04-06 18:13:11+00:00,10950,Platform.NINTENDONT,,20.0,,2.0,2,False,False
126,20190406T191102,2019-04-06 19:11:02+00:00,15234,Platform.NINTENDONT,2.0,,,12.0,32,False,False
127,20190406T213620,2019-04-06 21:36:20+00:00,11112,Platform.NINTENDONT,20.0,9.0,,,28,False,False
128,20190406T032124,2019-04-06 03:21:24+00:00,7439,Platform.NINTENDONT,9.0,3.0,,,2,False,False
129,20190309T002253,2019-03-09 00:22:53+00:00,6946,Platform.NINTENDONT,20.0,,,16.0,28,False,False
130,20190406T074603,2019-04-06 07:46:03+00:00,2510,Platform.NINTENDONT,2.0,,,0.0,28,False,False
131,20190406T061226,2019-04-06 06:12:26+00:00,14351,Platform.NINTENDONT,20.0,,,7.0,3,False,False
132,20190406T075520,2019-04-06 07:55:20+00:00,9189,Platform.NINTENDONT,25.0,,,0.0,3,False,False
133,20190406T165041,2019-04-06 16:50:41+00:00,15240,Platform.NINTENDONT,9.0,,,16.0,8,False,False
134,20190406T201231,2019-04-06 20:12:31+00:00,6446,Platform.NINTENDONT,15.0,,,23.0,8,False,False
135,20190406T160105,2019-04-06 16:01:05+00:00,2946,Platform.NINTENDONT,19.0,,,0.0,31,False,False
136,20190406T215244,2019-04-06 21:52:44+00:00,6329,Platform.NINTENDONT,20.0,,,16.0,2,False,False
137,20190309T000323,2019-03-09 00:03:23+00:00,11293,Platform.NINTENDONT,,9.0,,20.0,32,False,False
138,20190406T111059,2019-04-06 11:10:59+00:00,4231,Platform.NINTENDONT,15.0,,,6.0,8,True,False
139,20190406T181853,2019-04-06 18:18:53+00:00,21639,Platform.NINTENDONT,15.0,9.0,,,3,False,False
140,20190406T083711,2019-04-06 08:37:11+00:00,12081,Platform.NINTENDONT,,,20.0,25.0,28,False,False
141,20190406T203817,2019-04-06 20:38:17+00:00,8844,Platform.NINTENDONT,20.0,,,6.0,2,False,False
142,20190406T011529,2019-04-06 01:15:29+00:00,9814,Platform.NINTENDONT,2.0,,,9.0,28,False,False
143,20190406T190023,2019-04-06 19:00:23+00:00,9937,Platform.NINTENDONT,,20.0,,2.0,31,False,False
144,20190406T171424,2019-04-06 17:14:24+00:00,5305,Platform.NINTENDONT,,9.0,,16.0,31,False,False
145,20190406T124419,2019-04-06 12:44:19+00:00,11317,Platform.NINTENDONT,20.0,9.0,,,32,False,False
146,20190406T183856,2019-04-06 18:38:56+00:00,7068,Platform.NINTENDONT,,,0.0,9.0,32,False,False
147,20190406T130336,2019-04-06 13:03:36+00:00,8976,Platform.NINTENDONT,,10.0,,11.0,32,False,False
148,20190406T124425,2019-04-06 12:44:25+00:00,11810,Platform.NINTENDONT,7.0,,15.0,,8,False,False
149,20190406T110958,2019-04-06 11:09:58+00:00,2354,Platform.NINTENDONT,2.0,9.0,19.0,19.0,32,True,False
150,20190406T022915,2019-04-06 02:29:15+00:00,12854,Platform.NINTENDONT,16.0,,,25.0,3,False,False
151,20190406T153134,2019-04-06 15:31:34+00:00,16395,Platform.NINTENDONT,9.0,,,12.0,31,False,False
152,20190406T134811,2019-04-06 13:48:11+00:00,8313,Platform.NINTENDONT,2.0,2.0,,,32,False,False
153,20190406T102353,2019-04-06 10:23:53+00:00,9770,Platform.NINTENDONT,20.0,25.0,2.0,19.0,31,True,False
154,20190406T212305,2019-04-06 21:23:05+00:00,13024,Platform.NINTENDONT,,,9.0,6.0,2,False,False
155,20190406T114928,2019-04-06 11:49:28+00:00,10561,Platform.NINTENDONT,,2.0,,9.0,8,False,False
156,20190406T191922,2019-04-06 19:19:22+00:00,12046,Platform.NINTENDONT,,19.0,,2.0,31,False,False
157,20190309T012653,2019-03-09 01:26:53+00:00,8333,Platform.NINTENDONT,2.0,,14.0,,31,False,False
158,20190406T113935,2019-04-06 11:39:35+00:00,8923,Platform.NINTENDONT,22.0,2.0,2.0,2.0,8,True,False
159,20190406T111111,2019-04-06 11:11:11+00:00,10517,Platform.NINTENDONT,2.0,9.0,19.0,18.0,31,True,False
160,20190406T112418,2019-04-06 11:24:18+00:00,6360,Platform.NINTENDONT,20.0,,,9.0,32,False,False
161,20190406T154459,2019-04-06 15:44:59+00:00,7430,Platform.NINTENDONT,20.0,,,20.0,31,False,False
162,20190406T103501,2019-04-06 10:35:01+00:00,1496,Platform.NINTENDONT,,20.0,,9.0,31,False,False
163,20190406T114727,2019-04-06 11:47:27+00:00,6966,Platform.NINTENDONT,22.0,,,2.0,32,True,False
164,20190406T113216 copy,2019-04-06 11:32:16+00:00,14458,Platform.NINTENDONT,20.0,,,9.0,28,False,False
165,20190406T010555,2019-04-06 01:05:55+00:00,5830,Platform.NINTENDONT,2.0,,,9.0,32,False,False
166,20190406T111115,2019-04-06 11:11:15+00:00,6142,Platform.NINTENDONT,15.0,20.0,9.0,2.0,3,True,False
167,20190406T142203,2019-04-06 14:22:03+00:00,3816,Platform.NINTENDONT,9.0,,2.0,,8,False,False
168,20190406T102627,2019-04-06 10:26:27+00:00,8814,Platform.NINTENDONT,20.0,,2.0,,28,False,False
169,20190309T000509,2019-03-09 00:05:09+00:00,13874,Platform.NINTENDONT,2.0,,,9.0,3,False,False
170,20190309T013207,2019-03-09 01:32:07+00:00,9113,Platform.NINTENDONT,2.0,,14.0,,8,False,False
171,20190406T201433,2019-04-06 20:14:33+00:00,13672,Platform.NINTENDONT,15.0,,,23.0,8,False,False
172,20190406T114938,2019-04-06 11:49:38+00:00,6670,Platform.NINTENDONT,22.0,,,2.0,32,True,False
173,20190406T034356,2019-04-06 03:43:56+00:00,9213,Platform.NINTENDONT,,9.0,,16.0,8,False,False
174,20190406T120337,2019-04-06 12:03:37+00:00,10532,Platform.NINTENDONT,,1.0,17.0,,32,False,False
175,20190406T130124,2019-04-06 13:01:24+00:00,14509,Platform.NINTENDONT,16.0,,,16.0,3,False,False
176,20190406T101110,2019-04-06 10:11:10+00:00,10098,Platform.NINTENDONT,22.0,,,2.0,8,False,False
177,20190406T153124,2019-04-06 15:31:24+00:00,3336,Platform.NINTENDONT,,,2.0,9.0,31,False,False
178,20190406T180432,2019-04-06 18:04:32+00:00,6827,Platform.NINTENDONT,9.0,,,20.0,28,False,False
179,20190406T111459,2019-04-06 11:14:59+00:00,7987,Platform.NINTENDONT,,2.0,,9.0,8,False,False
180,20190406T120848,2019-04-06 12:08:48+00:00,8661,Platform.NINTENDONT,20.0,20.0,,,31,False,False
181,20190406T012636,2019-04-06 01:26:36+00:00,5136,Platform.NINTENDONT,9.0,,,9.0,32,False,False
182,20190406T103908,2019-04-06 10:39:08+00:00,4800,Platform.NINTENDONT,,5.0,0.0,,28,False,False
183,20190406T200249,2019-04-06 20:02:49+00:00,13626,Platform.NINTENDONT,0.0,,,1.0,28,False,False
184,20190406T174216,2019-04-06 17:42:16+00:00,15823,Platform.NINTENDONT,14.0,,15.0,,31,False,False
185,20190309T001429,2019-03-09 00:14:29+00:00,15846,Platform.NINTENDONT,1.0,,,9.0,31,False,False
186,20190406T103115,2019-04-06 10:31:15+00:00,11342,Platform.NINTENDONT,,12.0,,2.0,3,False,False
187,20190406T093506,2019-04-06 09:35:06+00:00,10311,Platform.NINTENDONT,,20.0,,9.0,28,False,False
188,20190406T114327,2019-04-06 11:43:27+00:00,6438,Platform.NINTENDONT,2.0,,,2.0,28,False,False
189,20190406T063805,2019-04-06 06:38:05+00:00,16648,Platform.NINTENDONT,14.0,,,9.0,31,False,False
190,20190406T190741,2019-04-06 19:07:41+00:00,12419,Platform.NINTENDONT,,9.0,,25.0,3,False,False
191,20190406T171232,2019-04-06 17:12:32+00:00,7584,Platform.NINTENDONT,,,2.0,9.0,28,False,False
192,20190309T003404,2019-03-09 00:34:04+00:00,7530,Platform.NINTENDONT,2.0,20.0,,,31,False,False
193,20190309T000643,2019-03-09 00:06:43+00:00,14274,Platform.NINTENDONT,,9.0,,20.0,28,False,False
194,20190406T134752,2019-04-06 13:47:52+00:00,12107,Platform.NINTENDONT,0.0,,,19.0,32,False,False
195,20190406T085628,2019-04-06 08:56:28+00:00,10006,Platform.NINTENDONT,9.0,,,2.0,2,False,False
196,20190406T021834,2019-04-06 02:18:34+00:00,14115,Platform.NINTENDONT,15.0,14.0,,,2,False,False
197,20190406T111908,2019-04-06 11:19:08+00:00,6521,Platform.NINTENDONT,0.0,,,19.0,31,False,False
198,20190406T204359,2019-04-06 20:43:59+00:00,7017,Platform.NINTENDONT,20.0,,,6.0,3,False,False
199,20190406T135128,2019-04-06 13:51:28+00:00,15189,Platform.NINTENDONT,0.0,,,19.0,31,False,False
200,20190406T205735,2019-04-06 20:57:35+00:00,14578,Platform.NINTENDONT,,,6.0,9.0,32,False,False
201,20190309T014347,2019-03-09 01:43:47+00:00,5174,Platform.NINTENDONT,20.0,,,20.0,31,False,False
202,20190406T194233 copy,2019-04-06 19:42:33+00:00,6733,Platform.NINTENDONT,0.0,,,2.0,32,False,False
203,20190406T132652,2019-04-06 13:26:52+00:00,14263,Platform.NINTENDONT,19.0,0.0,,,2,False,False
204,20190406T172538,2019-04-06 17:25:38+00:00,2875,Platform.NINTENDONT,15.0,,20.0,,32,False,False
205,20190406T150000,2019-04-06 15:00:00+00:00,10568,Platform.NINTENDONT,,,2.0,12.0,3,False,False
206,20190406T105029,2019-04-06 10:50:29+00:00,13472,Platform.NINTENDONT,20.0,2.0,9.0,19.0,28,True,False
207,20190406T013139,2019-04-06 01:31:39+00:00,6605,Platform.NINTENDONT,2.0,12.0,,,32,False,False
208,20190406T044049,2019-04-06 04:40:49+00:00,6540,Platform.NINTENDONT,,,9.0,2.0,2,False,False
209,20190406T161746,2019-04-06 16:17:46+00:00,7296,Platform.NINTENDONT,9.0,,,2.0,8,False,False
210,20190406T121404,2019-04-06 12:14:04+00:00,7078,Platform.NINTENDONT,20.0,20.0,,,32,False,False
211,20190406T093249,2019-04-06 09:32:49+00:00,7501,Platform.NINTENDONT,,20.0,,9.0,32,False,False
212,20190406T084735,2019-04-06 08:47:35+00:00,10581,Platform.NINTENDONT,,,0.0,0.0,32,False,False
213,20190406T144505,2019-04-06 14:45:05+00:00,8449,Platform.NINTENDONT,,,20.0,2.0,32,False,False
214,20190406T155352,2019-04-06 15:53:52+00:00,3223,Platform.NINTENDONT,0.0,4.0,,,2,False,False
215,20190406T120646,2019-04-06 12:06:46+00:00,7122,Platform.NINTENDONT,,1.0,17.0,,31,False,False
216,20190406T162313,2019-04-06 16:23:13+00:00,8636,Platform.NINTENDONT,0.0,,19.0,,31,False,False
217,20190406T171421,2019-04-06 17:14:21+00:00,9794,Platform.NINTENDONT,2.0,,,2.0,8,False,False
218,20190406T175121,2019-04-06 17:51:21+00:00,9376,Platform.NINTENDONT,9.0,,,20.0,32,False,False
